Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
209976657,006266074,,,,F,No,,Asian,Asian,,,,IL,60542-2049,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Aurora Central Catholic High School,140175,Aurora,IL,,Yes,,,,,,,,,High School,,,,Catholic,,,,,,,,,No,,,,,
475530579,006266056,,,,M,No,,White,White,,,,MN,55447-2237,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,To Be Entered TOPT FRE,,,,Benilde-St Margaret's School,242202,St Louis Park,MN,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
812379363,006261368,,,,F,No,,White,White,,,,IN,46383-4474,United States,UGRD,Freshman,No,,None,,10/20/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Valparaiso High School,153565,Valparaiso,IN,,No,4.39,4,4,Weighted,,,26,,High School,,,,Public,,,,,,,,,No,Yes,,,,
131507307,006258156,,,,M,Yes,,White,Hispanic,,,,IL,60045-2009,United States,UGRD,Freshman,No,,None,,9/28/2022,,,,10/4/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Lake Forest High School,142520,Lake Forest,IL,,Yes,3.46,3.46,4,Unweighted,4,2,,,High School,,,,Public,,,,,,,,,No,Yes,,,,
383647024,006258736,,,,M,No,,White,White,,,,NY,14618-3724,United States,UGRD,Freshman,No,,None,,10/4/2022,,,,10/6/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Admit FRE,,,,McQuaid Jesuit High School,334830,Rochester,NY,Y,Yes,93.8,3.8,100,Weighted,5,3,,,High School,,"Yes, is a Jesuit School",,Catholic,,,,,,,,,No,Yes,,,,
527379905,006262576,,,,F,No,,AsianWhite,Asian,,,,IL,60025-1479,United States,UGRD,Freshman,No,,None,,10/25/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Glenbrook South High School,142078,Glenview,IL,Y,No,3.35,3.35,4,Unweighted,4,3,29,Gold,High School,,,,Public,,,,,,,,,No,,,,,
351383833,006260313,,,,F,No,,Black or African AmericanWhite,Black or African American,,,,IL,60185-4316,United States,UGRD,Freshman,Yes,,None,,10/15/2022,,,,10/18/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Maybe?,,,,West Chicago High School,144350,West Chicago,IL,,Yes,4.45,3.45,5,Weighted,3,2,,,High School,,,,Public,,,,,,,,,No,,,,,
880287039,006260162,,,,F,No,,White,White,,,,WI,53221-2839,United States,UGRD,Freshman,No,,None,,10/14/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,On-Site FRE,,,,Ronald Reagan College Prep High School,501348,Milwaukee,WI,Y,Yes,3.31,3.31,4,Unweighted,,,,Gold,High School,,,MPS,Public,,,,,,,,,No,,,,,
614666613,006260307,,,,F,No,,WhiteWhite - Middle East,White,,,,WI,53154-8519,United States,UGRD,Freshman,No,,None,,10/15/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Salam School,501349,Milwaukee,WI,Y,Yes,,,,,,,,Gold,High School,,,,Independent,,,,,,,,,No,Yes,,,,
867605382,006262916,,,,F,No,,White,White,,,,WI,53221-4534,United States,UGRD,Freshman,Yes,,None,,10/26/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Greenfield High School,501359,Greenfield,WI,Y,Yes,3.21,3.21,4,Unweighted,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
393766595,006263633,,,,M,No,,WhiteWhite - Middle East,White,,,,WI,53221-4958,United States,UGRD,Freshman,Yes,BrotherSister,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Salam School,501349,Milwaukee,WI,Y,No,,,,,,,23,Gold,High School,,,,Independent,,,,,,,,,No,Yes,,,,
017153763,006257541,,,,F,Yes,,White,Hispanic,,,,IL,60175-7937,United States,UGRD,Freshman,No,,None,,9/19/2022,,,,9/21/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Saint Charles North High School,143796,Saint Charles,IL,,Yes,4.91,3.75,5,Weighted,5,4,,,High School,,,,Public,,,,,,,,,No,,,,,
710637403,006261160,,,,M,No,,Black or African American,Black or African American,,,,IL,60613-6011,United States,UGRD,Freshman,Yes,,None,,10/19/2022,,,,10/20/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Maybe?,,,,Loyola Academy,144403,Wilmette,IL,Y,Yes,87.44,3.2,100,Weighted,4,2,,Gold,High School,,"Yes, is a Jesuit School",,Catholic,,,,,,,,,No,,,,,
775743007,006262573,,,,M,No,,White,White,,,,MO,63109-3430,United States,UGRD,Freshman,No,,None,,10/25/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Saint Louis University High School,263065,Saint Louis,MO,Y,No,4.11,3.82,4,Weighted,5,4,28,Gold,High School,,"Yes, is a Jesuit School",,Catholic,,,,,,,,,No,,,,,
148705179,006265187,,,,F,No,,White,White,,,,IL,60177-3100,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,South Elgin High School,143784,South Elgin,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
022617444,006263636,,,,F,No,,Asian,Asian,,,,IL,60517-1804,United States,UGRD,Freshman,Yes,,None,,10/28/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Downers Grove South High School,141631,Downers Grove,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
148037987,006265170,,,,M,No,,Asian,Asian,,,,IL,60004-2518,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,11/1/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Buffalo Grove High School,140447,Buffalo Grove,IL,,No,3.75,3.75,4,Unweighted,,,33,,High School,,,,Public,,,,,,,,,No,Yes,,,,
581965668,006260742,,,,F,No,,White,White,,,,PA,19007-5015,United States,UGRD,Freshman,Yes,,None,,10/17/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Maybe?,,,,Bristol High School,390428,Bristol,PA,,Yes,93.83,3.06,100,Weighted,3,3,,,High School,,,,Public,,,,,,,,,No,,,,,
364698756,006266057,,,,M,No,,White,White,,,,WI,54115-9164,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,To Be Entered FRE,,,,Notre Dame Academy,500800,Green Bay,WI,Y,No,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
038911431,006260962,,,,F,No,,White,White,,,,IL,60630-3508,United States,UGRD,Freshman,Yes,,None,,10/18/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Von Steuben Metropolitan Science Center,141345,Chicago,IL,,No,3.54,2.78,4,Weighted,,,22,,High School,,,,Public,,,,,,,,,No,,,,,
319880587,006263938,,,,F,No,,Black or African AmericanWhite,Black or African American,,,,IL,60030-2621,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,App Received FRE,,,,Grayslake North High School,142126,Grayslake,IL,,No,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
765334618,006260448,,,,F,Yes,,White,Hispanic,,,,IL,60142-7039,United States,UGRD,Freshman,No,,None,,10/16/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Communication,Communication,,Review Deny,,,,Huntley High School,142320,Huntley,IL,,Yes,2.46,2.46,4,Unweighted,4,2,,,High School,,,,Public,,,,,,,,,No,,,,,
538636569,006264278,,,,F,Yes,,White,Hispanic,,,,IL,60430-3016,United States,UGRD,Freshman,No,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Homewood-Flossmoor High School,142307,Flossmoor,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
369242232,006261164,,,,F,No,,White,White,,,,NC,28411-8334,United States,UGRD,Freshman,No,,None,,10/19/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Maybe?,,,,E A Laney High School,344349,Wilmington,NC,,No,3.4,3,4,Weighted,2,2,24,,High School,,,,Public,,,,,,,,,No,,,,,
513275334,006262577,,,,F,No,,White,White,,,,IL,60084-1419,United States,UGRD,Freshman,No,,None,,10/25/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Carmel Catholic High School,143096,Mundelein,IL,Y,No,3.76,3.76,4,Unweighted,,,26,Gold,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
022857865,006263637,,,,F,Yes,,White,Hispanic,,,,IL,60194-4508,United States,UGRD,Freshman,No,,None,,10/28/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered FRE,,,,Schaumburg High School,143857,Schaumburg,IL,,No,,,,,,,,,High School,,,,Public,,,,,,,,,No,Yes,,,,
058692433,006260963,,,,F,No,,White,White,,,,IN,46216-2010,United States,UGRD,Freshman,No,,None,,10/18/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Incomplete FRE,,,,Cathedral High School,151660,Indianapolis,IN,,No,4.32,3.81,4,Weighted,,,,,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
420626330,006257990,,,,F,Yes,,American Indian or Alaska Native,Hispanic,,,,IL,60624-4225,United States,UGRD,Freshman,Yes,,None,,9/26/2022,,,,10/11/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Our Lady of Tepeyac High School,141132,Chicago,IL,,Yes,4.45,4,4,Weighted,5,4,,,High School,,,,Religious NOT Catholic,,,,,,,,,No,,,,,
882620571,006265188,,,,F,Yes,,White,Hispanic,,,,IL,60073-3154,United States,UGRD,Freshman,Yes,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Round Lake Senior High School,143760,Round Lake,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
705118195,006260447,,,,M,Yes,,White,Hispanic,,,,IL,60133-3343,United States,UGRD,Freshman,Yes,,None,,10/16/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Bartlett High School,140213,Bartlett,IL,,Yes,3.68,3.68,4,Unweighted,5,2,,,High School,,,,Public,,,,,,,,,No,,,,,
268694524,006257542,,,,F,No,,Black or African American,Black or African American,,,,IL,60202-1310,United States,UGRD,Freshman,Yes,,None,,9/19/2022,,,,9/26/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,Admit FRE,,,,Regina Dominican High School,144407,Wilmette,IL,,Yes,3.94,3.63,4,Weighted,4,2,,,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
279480360,006256406,,,,F,No,,White,White,,,,WI,53932-9617,United States,UGRD,Freshman,No,,None,,8/23/2022,,,,9/14/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Columbus High School,500450,Columbus,WI,,Yes,3.61,3.61,4,Unweighted,3,2,,,High School,,,,Public,,,,,,,,,No,,,,,
474590408,006257842,,,,M,No,,White,White,,,,IL,60442-7710,United States,UGRD,Freshman,Yes,,None,,9/24/2022,,,,9/26/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Lincoln-Way West High School,143171,New Lenox,IL,,No,4.71,3.99,4,Weighted,5,3,34,,High School,,,,Public,,,,,,,,,No,Yes,,,,
016552154,006259261,,,,F,No,,White,White,,,,IL,60010-7200,United States,UGRD,Freshman,Yes,,None,,10/9/2022,,,,10/10/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Lake Zurich Senior High School,142530,Lake Zurich,IL,Y,No,3.59,3.59,4,Unweighted,3,3,29,Gold,High School,,,,Public,,,,,,,,,No,,,,,
177661039,006257477,,,,M,No,,White,White,,,,IL,60046-5232,United States,UGRD,Freshman,No,,None,,9/18/2022,,,,9/20/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Admit FRE,,,,Grayslake North High School,142126,Grayslake,IL,,No,3.71,3.18,4,Weighted,4,4,31,,High School,,,,Public,,,,,,,,,No,,,,,
715411460,006264281,,,,F,No,,White,White,,,,IL,60126-2420,United States,UGRD,Freshman,Yes,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,York Community High School,141805,Elmhurst,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
987058412,006257302,,,,F,No,,White,White,,,,WI,53097-2413,United States,UGRD,Freshman,Yes,,None,,9/13/2022,,,,9/29/2022,,,,,2023 August (Fall Semester),Education,Education,,Education,,,,Homestead High School,502269,Mequon,WI,Y,Yes,3.56,3.56,4,Unweighted,,,,Gold,High School,,,,Public,,,,,,,,,No,Yes,,,,
282209888,006261165,,,,F,No,,White,White,,,,PA,15001-9120,United States,UGRD,Freshman,No,,None,,10/19/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Hopewell Senior High School,390042,Aliquippa,PA,,Yes,4.1,3.88,4,Weighted,,,,,High School,,,,Public,,,,,,,,,No,,,,,
987344743,006264280,,,,F,Yes,,White,Hispanic,,,,IL,60423-1463,United States,UGRD,Freshman,No,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,To Be Entered FRE,,,,Lincoln-Way East High School,141948,Frankfort,IL,,No,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
607407315,006257931,,,,M,Yes,,White,Hispanic,,,,MN,55317-8702,United States,UGRD,Freshman,No,,None,,9/25/2022,,,,10/7/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Chanhassen High School,240421,Chanhassen,MN,,No,3.94,3.94,4,Unweighted,4,3,31,,High School,,,,Public,,,,,,Eligible,,,No,,,,,
895544789,006264279,,,,F,No,,AsianWhite,Asian,,,,WI,53151-9030,United States,UGRD,Freshman,No,,None,,10/30/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Business Administration,,,,Eisenhower High School,501631,New Berlin,WI,,No,3.99,3.99,4,Unweighted,,,33,,High School,,,,Public,,,,,,,,,No,Yes,,,,
975066724,006259420,,,,F,No,,White,White,,,,WI,53090-9428,United States,UGRD,Freshman,No,,None,,10/10/2022,,,,10/12/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Kewaskum High School,501015,Kewaskum,WI,,No,4,4,4,Unweighted,,,29,,High School,,,,Public,,,,,,,,,No,,,,,
742203315,006259581,,,,F,No,,White,White,,,,IL,60070-2537,United States,UGRD,Freshman,No,,None,,10/11/2022,,,,10/17/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,Admit FRE,,,,John Hersey High School,140097,Arlington Hts,IL,,No,3.69,3.69,4,Unweighted,4,3,26,,High School,,,,Public,,,,,,,,,No,,,,,
659656878,006263939,,,,F,No,,White,White,,,,IL,60565-5337,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Benet Academy,142635,Lisle,IL,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
677321014,006265189,,,,F,Yes,,,Hispanic,,,,IL,60005-4254,United States,UGRD,Freshman,Yes,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Rolling Meadows High School,143736,Rolling Mdws,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
524571939,006265171,,,,M,No,,White,White,,,,IL,60062-2629,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Glenbrook North High School,143215,Northbrook,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
991166116,006263940,,,,F,No,,Asian,Asian,,,,IL,60706-3413,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Maine South High School,143377,Park Ridge,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
466866295,006266075,,,,F,No,,Black or African American,Black or African American,,,,MN,55369-2223,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered Fast Pass FRE,,,,Blaine High School,240256,Blaine,MN,,No,,,,,,,30,,High School,,,,Public,,,,,,,,,No,,,,,
662356607,006260743,,,,F,No,,White,White,,,,IL,60561-5015,United States,UGRD,Freshman,No,,None,,10/17/2022,,,,10/20/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Montini Catholic High School,142663,Lombard,IL,Y,Yes,3.4,3.13,4,Weighted,,,,Former Blue,High School,,,,Catholic,,,,,,,,,No,,,,,
020819944,006260683,,,,M,No,,Black or African AmericanBlack or African American - Africa,Black or African American,,,,Federal Capital Territory,901101,Nigeria,OIE,Freshman,Yes,,None,,10/16/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,Checklist Check OIE,,,,Intellect Companion Classic College,000000,Ogun,Ogun,,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,
594218865,006261558,,,,M,No,,Black or African American,Black or African American,,,,LAGOS,100001,Nigeria,OIE,Freshman,Yes,,None,,10/19/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Checklist Check OIE,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,
792531648,006263941,,,,F,No,,Black or African AmericanBlack or African American - Africa,Black or African American,,,,MN,55068-0800,United States,UGRD,Freshman,Yes,,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,App Received FRE,,,,Eagan High School,242121,Eagan,MN,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
159349831,006266004,,,,M,No,,Black or African American,Black or African American,,,,,,Ghana,OIE,Freshman,Yes,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Checklist Check OIE,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,
560790675,006266076,,,,F,No,,White,White,,,,IL,62254-1849,United States,UGRD,Freshman,No,,None,,11/1/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,To Be Entered TOPT FRE,,,,Visitation Academy,262925,Saint Louis,MO,,Yes,,,,,,,,,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
030280472,006263638,,,,F,No,,White,White,,,,MN,55330-5031,United States,UGRD,Freshman,Yes,,None,,10/28/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Rogers High School,242110,Rogers,MN,,No,4.06,3.99,4,Weighted,,,30,,High School,,,,Public,,,,,,,,,No,,,,,
138433781,006260964,,,,F,No,,White,White,,,,IL,60090-5068,United States,UGRD,Freshman,No,,None,,10/18/2022,,,,10/19/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Saint Viator High School,140098,Arlington Hts,IL,Y,No,3.94,3.94,4,Unweighted,,,27,Gold,High School,,,,Catholic,,,,,,,,,Yes,Yes,,,,
226747876,006263249,,,,M,No,,White,White,,,,IL,60090-5068,United States,UGRD,Freshman,No,,None,,10/27/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Business Administration,,,,Saint Viator High School,140098,Arlington Hts,IL,Y,No,3.71,3.41,4,Weighted,,,30,Gold,High School,,,,Catholic,,,,,,,,,Yes,Yes,,,,
601687320,006259945,,,,F,No,,White,White,,,,OH,44107-1001,United States,UGRD,Freshman,No,Brother,None,,10/13/2022,,,,,,,,,2023 August (Fall Semester),Nursing,Nursing,,App Received FRE,,,,Magnificat High School,361322,Rocky River,OH,,Yes,,,,,,,,,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
554671381,006265190,,,,F,No,,White,White,,,,WI,54015-5212,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered FRE,,,,Saint Croix Central Sr High Sc,500840,Hammond,WI,,No,,,,,,,,,High School,,,,Public,,,,,,,,,No,,,,,
147927446,006259418,,,,M,No,,White,White,,,,WI,53711-1734,United States,UGRD,Freshman,No,,None,,10/10/2022,,,,10/11/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,West High School,501165,Madison,WI,Y,No,3.82,3.82,4,Unweighted,4,3,25,Former Blue,High School,,,,Public,,,,,,,,,No,,,,,
653900005,006261892,,,,F,No,,White,White,,,,WI,53711-1734,United States,UGRD,Freshman,No,,None,,10/23/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,Admit FRE,,,,West High School,501165,Madison,WI,Y,No,3.75,3.75,4,Unweighted,3,3,27,Former Blue,High School,,,,Public,,,,,,,,,Yes,,,,,
440648411,006263256,,,,F,No,,White,White,,,,CA,94402-2212,United States,UGRD,Freshman,No,,None,,10/27/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,To Be Entered TOPT FRE,,,,Notre Dame High School,050275,Belmont,CA,,Yes,,,,,,,,,High School,,,,Religious NOT Catholic,,,,,,,,,No,,,,,
764351474,006260314,,,,F,No,,Asian,Asian,,,,MN,55311-4546,United States,UGRD,Freshman,No,,None,,10/15/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Arts & Sciences,,,,Wayzata High School,242650,Plymouth,MN,,No,3.51,3.51,4,Unweighted,,,33,,High School,,,,Public,,,,,,,,,No,,,,,
002328106,006256407,,,,F,,,Asian,Asian,,,,IL,60031-5625,United States,UGRD,Freshman,No,,None,,8/5/2022,,,,9/27/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Warren Township High School,142175,Gurnee,IL,Y,No,4.11,3.62,4,Weighted,3,3,29,Gold,High School,,,,Public,,,,,,,,,No,,,,,
112832173,006258073,,,,F,No,,Asian,Asian,,,,IL,60026-1185,United States,UGRD,Freshman,No,,None,,9/27/2022,,,,10/3/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Homeschool,,,,Homeschool,777777,,,,No,4,4,4,Unweighted,4,3,29,,High School,,,,Home School,,,,,,,,,No,,,,,
416109250,006263942,,,,F,No,,Asian,Asian,,,,IL,60634-1740,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,To Be Entered TOPT FRE,,,,Taft High School,141385,Chicago,IL,,Yes,,,,,,,,,High School,,,,Public,,,,,,,,,No,Yes,,,,
675751756,006258843,,,,M,No,,Black or African American,Black or African American,,,,LAGOS,102313,Nigeria,OIE,Freshman,No,,None,,10/4/2022,,,,,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Checklist Check OIE,,,,Corona Secondary School,630623,Ogun State,,,No,,,,,,,,,High School,,,,Independent,,,,,,,,,No,,,,,
673315198,006264282,,,,F,Yes,,White,Hispanic,,,,PR,00969-5327,United States,UGRD,Freshman,No,Father,None,,10/30/2022,,,,,,,,,2023 August (Fall Semester),Communication,Communication,,App Received FRE,,,,Academia Del Perpetuo Socorro,543440,San Juan,PR,,Yes,,,,,,,,,High School,,,,Catholic,,,,,,,,,No,,,,,
466541349,006261889,,,,M,Yes,,Asian,Hispanic,,,,CO,80238-2697,United States,UGRD,Freshman,No,,None,,10/23/2022,,,,10/24/2022,,,,,2023 August (Fall Semester),Communication,Communication,,Admit FRE,,,,Regis Jesuit High School,060435,Aurora,CO,Y,Yes,2.92,2.92,4,Unweighted,3,3,,Gold,High School,,"Yes, is a Jesuit School",,Catholic,,,,,,,,,No,Yes,,,,
574776493,006265172,,,,M,No,,Asian,Asian,,,,IL,60025-3719,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,App Received FRE,,,,Glenbrook South High School,142078,Glenview,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
419706333,006263932,,,,M,No,,White,White,,,,IL,60126-3241,United States,UGRD,Freshman,No,,None,,10/29/2022,,,,,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,To Be Entered TOPT FRE,,,,York Community High School,141805,Elmhurst,IL,Y,Yes,,,,,,,,Gold,High School,,,,Public,,,,,,,,,No,,,,,
228181375,006259419,,,,M,No,,White,White,,,,IL,60187-4259,United States,UGRD,Freshman,No,,None,,10/10/2022,,,,10/11/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Saint Francis Preparatory High School,144383,Wheaton,IL,Y,Yes,3.89,3.89,4,Unweighted,3,3,,Former Blue,High School,,,,Catholic,,,,,,,,,No,Yes,,,,
123584118,006260965,,,,F,No,,AsianAsian - PakistaniWhiteWhite - Middle East,Asian,,,,WI,53221-2210,United States,UGRD,Freshman,Yes,,None,,10/18/2022,,,,10/20/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Admit FRE,,,,Ronald Reagan College Prep High School,501348,Milwaukee,WI,Y,Yes,4,4,4,Unweighted,5,4,,Gold,High School,,,MPS,Public,,,,,,,,,No,Yes,,,,
129342950,006257892,,,,M,,,,Not Provided,,,,,,Pakistan,OIE,Freshman,Yes,,None,,9/23/2022,,,,,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Checklist Check OIE,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,No,,,,,
