Ref,Campus ID,Preferred ,Last,Suffix,Sex,Hispanic,Hispanic Origin,Race,Primary Ethnicity,Phone ,Street,City,State,Zip,Country,App Center,Standing,First Gen,Legacy,Faculty Child,Tuition Remission,Submitted Date,Admit Flag,Non Admit Flag,Cancel Flag,Complete Date,Admit Date,Deny Date,Cancel Date,Deposit Date,Entry Term App,Applied to College,Admitted to College,Admitted to Major,Current Bin Name,Admit Reason,Deny Reason,Cancel Reason,School,CEEB,School City,School State,MU Feeder,Test Optional,Raw GPA,Recalc GPA,GPA Scale,GPA Type,Rigor,Essay,ACT Equivalent,Blue and Gold,Category,Cristo Rey,Jesuit,Organization Flag,Type,Staff Assigned,Physical Therapy Status,Athletic Training Status,Sport,FACHEX,Tuition Exchange,Honors,EOP,Twin,Campus Visit,Undocumented,Merit Award,ONE Created Date,ONE Submitted Date
469596276,006256421,,,,M,No,,Black or African AmericanWhite,Black or African American,,,,IL,60538-4012,United States,UGRD,Freshman,No,,None,,8/1/2022,,,,8/22/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Maybe?,,,,Oswego High School,143330,Oswego,IL,,Yes,3.21,3.21,4,Unweighted,3,3,,,High School,,,,Public,,,,,,,,,No,,,,,
091150588,006262943,,,,F,No,,White,White,,,,WI,53217-5145,United States,UGRD,Freshman,No,Mother,None,,10/26/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Health Sciences,Health Sciences,,Health Sciences,,,,Whitefish Bay High School,501505,Whitefish Bay,WI,Y,Yes,3.45,3.39,4,Weighted,,,,Gold,High School,,,,Public,,,,,,,,,No,Yes,,,,
646602035,006259435,,,,F,No,,White,White,,,,IL,60061-1227,United States,UGRD,Freshman,No,,None,,10/10/2022,,,,10/13/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Maybe?,,,,Vernon Hills High School,144214,Vernon Hills,IL,,Yes,3.56,3.56,4,Unweighted,3,3,,,High School,,,,Public,,,,,,,,,No,,,,,
644035550,006259596,,,,F,No,,Black or African American,Black or African American,,,,WI,53216-3437,United States,UGRD,Freshman,Yes,,None,,10/11/2022,,,,10/21/2022,,,,,2023 August (Fall Semester),Nursing,Nursing,,On-Site FRE,,,,Martin Luther High School,500823,Greendale,WI,Y,Yes,3.24,3.24,4,Unweighted,,,,Gold,High School,,,,Religious NOT Catholic,,,,,,,,,No,,,,,
492556942,006257669,,,,M,No,,White,White,,,,WI,53186-5535,United States,UGRD,Freshman,No,Brother,None,,9/21/2022,,,,10/11/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Maybe?,,,,Waukesha Engineering Prep,500331,Waukesha,WI,,No,3.4,3.26,4,Weighted,3,2,24,,High School,,,,Charter,,,,,,,,,No,Yes,,,,
488459653,006257537,,,,F,No,,WhiteWhite - Europe,White,,,,WI,53132-7402,United States,UGRD,Freshman,No,Father,None,,9/19/2022,,,,9/21/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Franklin High School,500702,Franklin,WI,Y,Yes,3.47,3.47,4,Unweighted,3,2,,Gold,High School,,,,Public,,,,,,,,,No,Yes,,,,
007790959,006264318,,,,M,No,,White,White,,,,WI,54650-5004,United States,UGRD,Freshman,No,,None,,10/30/2022,,,,10/31/2022,,,,,2023 August (Fall Semester),Engineering,Engineering,,Engineering,,,,Luther High School,501702,Onalaska,WI,,No,4,4,4,Unweighted,,,30,,High School,,,,Religious NOT Catholic,,,,,,,,,No,,,,,
207753797,006262616,,,,F,No,,White,White,,,,IL,60521-3811,United States,UGRD,Freshman,No,,None,,10/25/2022,,,,10/26/2022,,,,,2023 August (Fall Semester),Business Administration,Business Administration,,Admit FRE,,,,Hinsdale Central High School,142300,Hinsdale,IL,,No,4.87,3.87,5,Unweighted,5,3,34,,High School,,,,Public,,,,,,,,,No,,,,,
598300588,006258881,,,,F,No,,White,White,,,,MO,63110-3122,United States,UGRD,Freshman,No,,None,,10/5/2022,,,,10/7/2022,,,,,2023 August (Fall Semester),Arts and Sciences,Arts and Sciences,,Admit FRE,,,,Saint Joseph Academy,263055,Saint Louis,MO,,No,4.33,3.88,4,Weighted,5,3,28,,High School,,,,Catholic,,,,,,,,,No,,,,,
416614408,006265231,,,,M,No,,White,White,,,,WI,53212-2134,United States,UGRD,Freshman,No,,None,,10/31/2022,,,,,,,,,2023 August (Fall Semester),Communication,Communication,,To Be Entered TOPT FRE,,,,Dominican High School,502505,Whitefish Bay,WI,Y,Yes,,,,,,,,Gold,High School,,,,Catholic,,,,,,,,,No,,,,,
